Word,POS,Lemma
ارشاد,PN,ارشاد
ہونگی,AA,ہونگی
ٹھہرایا,VB,ٹھہر
ظرف,NN,ظرف
بساط,NN,بساط
آفاق,NN,آفاق
گندی,ADJ,گند
پلانٹ,NN,پلانٹ
نغمے,NN,نغمہ
جذب,NN,جذب
پیٹر,PN,پيٹر
بنوا,VB,بن
اخوان,PN,اخوان
الاسد,PN,الاسد
ریلوے,NN,ریلوے
کالی,ADJ,كالی
آنگن,NN,آنگن
عزوجل,PN,عزوجل
وحشی,ADJ,وحشی
مٹھی,NN,مٹھی
ادیبوں,NN,اديب
خوبیوں,NN,خوبی
ی,ADJ,ی
وہم,NN,وہم
دھماکہ,ADV,دھماکہ
ڈیٹ,NN,ڈیٹ
مسلموں,NN,مسلم
ٹین,PN,ٹین
دھار,NN,دھار
جہد,NN,جہد
گزارہ,NN,گزارہ
جنید,PN,جنید
مظہر,ADJ,مظہر
مباحث,NN,مباحث
افزائی,VB,افزائی
شعری,ADJ,شعری
رمضان,NN,رمضان
تعمیری,ADJ,تعمیر
داستاں,NN,داستاں
خورشید,NN,خورشید
فخرنوید,NN,فخرنوید
ادوار,NN,ادوار
بانو,NN,بانو
ہالی,PN,ہالی
طالبعلم,NN,طالبعلم
کمروں,NN,کمرہ
دبانے,VB,دب
اترتے,VB,اتر
رسوخ,NN,رسوخ
شاہکار,NN,شاہکار
حقانی,PN,حقانی
کیہر,ADJ,كيہر
مسعود,NN,مسعود
تعیناتی,NN,تعين
ضمنی,ADJ,ضمنی
پلانے,VB,پلا
روی,PN,روی
ملاقاتیں,NN,ملاقات
صنعتی,ADJ,صنع
لسانیات,NN,لسانی
چسپاں,NN,چسپاں
آندھی,NN,آندھی
ہواؤں,NN,ہوا
ڈاؤن,NN,ڈاؤن
ویڈیوز,NN,ويڈيو
سنن,PN,سنن
مریم,NN,مریم
تغیر,NN,تغیر
حکایت,NN,حکایت
سوں,A,سوں
جوں,ADV,جوں
طیارہ,NN,طیارہ
ساقی,ADJ,ساقی
رائٹس,PN,رائٹس
سیکورٹی,PN,سیکورٹی
سویا,VB,سو
غیبت,NN,غيبت
چندہ,NN,چندہ
ہونٹ,NN,ہونٹ
آئینے,VB,آئینہ
مستی,NN,مستی
حاوی,ADJ,حاوی
ویر,PN,ویر
لپیٹ,NN,لپیٹ
آوٹ,NN,آؤٹ
لالہ,PN,لالہ
اینٹی,PN,اینٹی
فعلن,PN,فعلن
ڈور,NN,ڈور
بٹیا,AA,بٹیا
فنڈز,NN,فنڈ
جنگوں,NN,جنگ
کہلاتے,VB,كہہ
صوفی,ADJ,صوفی
گھٹا,VB,گھٹ
صاحبزادے,NN,صاحبزادہ
بسوں,NN,بس
عنہما,NN,عنہما
کمشنر,PN,کمشنر
پوجا,NN,پوجا
بنادیا,VB,بنا
مارتا,VB,مار
کوچے,NN,كوچہ
فائلز,NN,فائل
پیشتر,ADJ,پيشتر
حسیب,PN,حسیب
بربادی,NN,برباد
حوالوں,NN,حوالہ
پویلین,NN,پویلین
آزاری,NN,آزار
رسد,NN,رسد
سستے,ADJ,سستا
گریبان,NN,گريبان
سنگِ,NN,سنگ
چیمپئنز,PN,چيمپين
ٹوئٹر,NN,ٹويٹ
ملبوس,ADJ,ملبوس
سٹیج,NN,سٹیج
لاہوری,PN,لاہور
ڈیز,NN,ڈیز
مولویوں,NN,مولوی
عقیدہ,ADJ,عقیدہ
بادلوں,NN,بادل
بینکوں,NN,بینک
جھنڈے,NN,جھنڈا
رکعت,NN,ركعت
نقطے,NN,نقطہ
ہيں,VB,ہے
فلسطینیوں,NN,فلسطين
امريکی,PN,امریکہ
نوک,NN,نوک
کردو,NN,كردو
اندوز,VB,اندوز
بڑھاتے,VB,بڑھ
بدلتی,VB,بدل
دئے,AA,دے
فورا,PN,فوراً
ذوالفقار,PN,ذوالفقار
پشاور,ADJ,پشاور
ثمر,NN,ثمر
ماشاء,PN,ماشاء
معاش,NN,معاش
الله,NN,الله
پرس,NN,پرس
کیف,PN,کیف
طنزیہ,ADJ,طنزیہ
ریلوے,PN,ریلوے
جائیداد,NN,جائیداد
موٹے,NN,موٹا
چھاپ,NN,چھاپ
بادشاہوں,NN,بادشاہ
جسکا,PN,جسکا
گنے,VB,گن
زیاں,NN,زی
مینیجر,NN,مینیجر
ارسال,PN,ارسال
عادل,PN,عادل
اثنا,NN,اثنا
نسلی,ADJ,نسل
پہنچائے,VB,پہنچ
اندرون,NN,اندرون
کےلیے,AA,كےلے
راہیں,NN,راہ
جعفری,PN,جعفر
گھونٹ,NN,گھونٹ
کچن,PN,كچن
بھیانک,ADJ,بھيانک
تشیع,NN,تشیع
نمازِ,NN,نماز
مرید,NN,مرید
گزرنا,VB,گزر
آنٹی,PN,آنٹی
قربت,NN,قربت
جھنڈا,NN,جھنڈا
چشمے,NN,چشمہ
مادری,ADJ,مادری
ہارنے,VB,ہار
معرکہ,NN,معرکہ
جدت,NN,جدت
جل,PN,جل
عاجز,NN,عاجز
نیلے,NN,نیلا
پارے,NN,پارہ
حروف,ADJ,حروف
انبیاء,PN,نبی
اُٹھ,VB,اٹھ
عبدالرحمن,PN,عبدالرحمن
بوچھی,PN,بوچھ
ساغر,NN,ساغر
جیا,PN,جی
کھلانے,VB,کھل
آئرلینڈ,PN,آئرلینڈ
ابوشامل,PN,ابوشامل
ریڈنگ,PN,ريڈنگ
مومن,PN,مومن
ڈھونڈتے,VB,ڈھونڈ
گھیرے,NN,گھیر
مڑ,VB,مڑ
قیمہ,NN,قيمہ
دانہ,NN,دانہ
پھینکنے,VB,پھينک
تعریفیں,NN,تعريف
باجو,PN,باجو
افضل,ADJ,افضل
بلیٹن,PN,بلیٹن
کہلاتی,VB,كہہ
کلارک,PN,كلارک
کوہ,NN,کوہ
خسارے,NN,خسارا
شبہات,NN,شبہ
اسٹیج,NN,اسٹیج
تنصیب,NN,تنصیب
سیاق,NN,سياق
وکیپیڈیا,PN,وكيپیڈیا
تندرستی,NN,تندرست
فروش,NN,فروش
بسا,VB,بس
نمازیں,NN,نماز
قضا,NN,قضا
املا,PN,املا
روٹیاں,NN,روٹی
مقفل,NN,مقفل
ناخن,NN,ناخن
سازشوں,NN,سازش
ہوجانا,VB,ہوجا
زراعت,NN,زراعت
ارتقا,NN,ارتقا
کرکے,VB,کر
نجم,PN,نجم
خُدا,NN,خدا
فونٹس,PN,فونٹ
قدیر,NN,قدیر
قدرے,ADJ,قدرے
کامیابیاں,NN,کامیاب
واٹسن,PN,واٹسن
گدھا,NN,گدھا
علٰی,PN,علٰی
ٹانگیں,NN,ٹانگ
ریٹائر,NN,ريٹائر
جزیرے,NN,جزيرہ
پتوں,NN,پتہ
پولیو,PN,پولیو
ماہی,ADJ,ماہی
اقلیت,NN,اقلیت
بتدریج,ADV,بتدریج
انجوائے,VB,انجوائے
باقیوں,NN,باقی
بسم,PN,بسم
شیٹ,NN,شیٹ
ماوراء,PN,ماوراء
ٹاپک,NN,ٹاپک
احسان,PN,احسان
بمبئی,PN,بمبئی
بھتیجے,NN,بھتیجا
ہيں,PN,ہے
صالح,NN,صالح
بو,PN,بو
منور,ADJ,منور
اجداد,NN,جد
دلی,PN,دلی
لئی,PN,لئی
ڈ,PN,ڈ
خلاف,ADV,خلاف
خلل,NN,خلل
ٹائٹل,NN,ٹائٹل
سینیٹر,NN,سينيٹر
بلاگرز,NN,بلاگ
بخشا,VB,بخش
بم,PN,بم
خال,NN,خال
تجدید,NN,تجدید
کلیات,NN,كلیت
یارو,PN,يارو
پاور,PN,پاور
روزنامہ,NN,روزنامہ
سوری,PN,سوری
فقدان,NN,فقدان
نظر,VB,نظر
بھتہ,ADJ,بھتہ
شعری,NN,شعری
تاجروں,NN,تاجر
خیر,ADJ,خیر
سیکشن,PN,سیکشن
شگاف,NN,شگاف
جڑے,ADJ,جڑ
سیارے,NN,سيارا
گال,NN,گال
منموہن,PN,منموہن
بقول,ADJ,بقول
سنگاکارا,PN,سنگاکارا
سوم,OR,سوم
نظرِ,NN,نظر
تحصیل,NN,تحصیل
آنلائن,PN,آنلائن
خورشید,ADJ,خورشید
تخلیقات,NN,تخلیق
وکلا,NN,وکلا
کرن,NN,کرن
کیفیات,NN,كيفیت
شاہدین,PN,شاہد
اسٹیٹ,PN,اسٹیٹ
اندازی,NN,اندازی
],CA,]
کٹ,PN,کٹ
بچانا,VB,بچ
افسانہ,ADJ,افسانہ
دعوٰی,NN,دعویٰ
ٹیلر,PN,ٹيلر
اتباع,NN,اتباع
بیٹنگ,PN,بیٹنگ
محبوبہ,NN,محبوبہ
محکمے,NN,محكمہ
پلاسٹک,NN,پلاسٹک
کیاگیا,VB,كياگيا
فلیش,PN,فلیش
سوفٹویر,NN,سوفٹویر
ریڈیو,PN,ریڈیو
ایلیا,PN,آیلیا
تالاب,NN,تالاب
قرضہ,NN,قرض
سیکھی,VB,سیکھ
باعثِ,NN,باعث
پڑھو,VB,پڑھ
جاے,AA,جاہ
پین,PN,پین
مغزل,NN,مغزل
انقلابی,ADJ,انقلاب
گری,ADJ,گر
فکری,ADJ,فکری
کوریج,NN,کوریج
رحمانی,PN,رحمانی
سیدنا,ADJ,سید
ابر,NN,ابر
خسرو,NN,خسرو
کئ,ADJ,کئ
کلامی,NN,كلامی
گھاٹ,NN,گھاٹ
رباعی,NN,رباعی
بیویاں,NN,بیوی
اکتفا,VB,اكتفا
بچنا,VB,بچ
معین,PN,معین
ہنوز,PN,ہنوز
ڈیلیٹ,NN,ڈيلیٹ
بر,NN,بر
ماتھے,NN,ماتھا
ڈرا,PN,ڈر
لٹکا,VB,لٹکا
ہاہاہاہا,PN,ہاہاہاہا
کمرشل,ADJ,كمرشل
بلب,NN,بلب
ہاشم,NN,ہاشم
جہت,NN,جہت
گنوا,VB,گنوا
جاگ,NN,جاگ
ناز,PN,ناز
ٹکڑوں,NN,ٹكڑا
شبنم,NN,شبنم
لاگ,PN,لاگ
عشقِ,NN,عشق
کول,PN,كول
دھوم,NN,دھوم
اِسی,ADJ,اِس
چھکوں,NN,چھکا
فرخ,PN,فرخ
چھاؤں,NN,چھاؤں
ویلنٹائن,PN,ويلنٹائن
گذرے,VB,گذر
عالمگیر,ADJ,عالمگیر
مفتی,NN,مفتی
جیل,PN,جیل
منشی,NN,منشی
تربیتی,ADJ,تربیت
اسباق,NN,سبق
اٹھتی,VB,اٹھ
ظہر,PN,ظہر
احمدی,ADJ,احمدی
جامہ,NN,جامہ
کوفہ,NN,كوفہ
دیہاتی,ADJ,دیہات
سراہا,VB,سراہا
بھاگا,VB,بھاگ
بلوچوں,NN,بلوچ
نشین,NN,نشین
رضامندی,NN,رضامند
چھڑا,VB,چھڑ
دری,NN,دری
عزیزامین,PN,عزیزامین
جوہر,PN,جوہر
مہلک,ADJ,مہلک
محبّت,NN,محبت
قیمتیں,NN,قیمت
منیر,ADJ,منير
مصطفی,PN,مصطفی
نائٹ,PN,نائٹ
پانا,VB,پا
املاک,NN,املاک
رسائل,NN,رسالہ
جزوی,ADJ,جزوی
فیملی,PN,فیملی
وقوع,NN,وقوع
حنفی,NN,حنفی
گرچہ,NN,گرچہ
فحاشی,NN,فحش
نمازوں,NN,نماز
حقيقت,NN,حقیقتِ
اندراج,NN,درج
دھرنا,VB,دھرنا
بد,ADV,بد
برادر,NN,برادر
چھوڑو,VB,چھوڑ
ہوسکے,AA,ہوسکا
گِل,PN,گل
کھلتا,VB,كھل
خوشحالی,NN,خوشحال
کہکشاں,NN,کہكشاں
راقم,PN,راقم
ڈاون,PN,ڈاون
نقاد,NN,نقاد
ماحولیات,NN,ماحول
مصباح,PN,مصباح
خبری,ADJ,خبری
براڈ,PN,براڈ
معاشرت,NN,معاشرت
الہی,NN,الہی
ترسیل,NN,ترسیل
ترانہ,NN,ترانہ
تبلیغی,ADJ,تبليغ
مزدوروں,NN,مزدور
مذہبی,NN,مذہب
بگاڑ,VB,بگڑ
لڑنا,VB,لڑ
سائٹ,PN,سائٹ
مہذب,ADJ,مہذب
پیالہ,NN,پيالہ
امتیازی,ADJ,امتیاز
دیوانے,VB,دیوانہ
اباجان,NN,اباجان
سادات,NN,سادات
سٹی,NN,سٹی
اشد,NN,اشد
برس,PN,برس
گذارش,NN,گذارش
پلکوں,NN,پلک
مچل,PN,مچل
مگن,VB,مگن
نسیم,PN,نسیم
حقہ,NN,حقہ
زمینوں,NN,زمین
چھان,NN,چھان
مروت,NN,مروت
آپا,NN,آپا
دیواریں,NN,ديوار
ازم,NN,ازم
اندھے,NN,اندھا
دھاگا,NN,دھاگا
پڑھایا,VB,پڑھ
ملبے,NN,ملبہ
کوئٹہ,PN,کوئٹہ
ڈویژن,NN,ڈویژن
قاضی,NN,قاضی
الحال,PN,الحال
اتھارٹی,PN,اتھارٹی
جلائے,VB,جل
قوتیں,NN,قوت
پڑتال,NN,پڑتال
پھلوں,NN,پھل
خالد,ADJ,خالد
اثبات,NN,اثبات
گفت,NN,گفت
لطائف,NN,لطف
رسومات,NN,رسم
پھینکا,VB,پھینک
کاہے,NN,کاہے
تھپڑ,NN,تھپڑ
رپورٹس,NN,رپورٹ
نگاہِ,NN,نگاہ
آٹے,NN,آٹا
مزاق,NN,مزاق
عرفات,PN,عرفات
تنبیہ,NN,تنبیہ
کھولنا,VB,كھول
ہوگئی,TA,ہوگئی
پادری,NN,پادری
ہون,PN,ہون
خالد,PN,خالد
مسجدوں,NN,مسجد
صدیق,NN,صدیق
العین,PN,العین
ہمہ,NN,ہمہ
چیٹ,NN,چیٹ
اپنانے,VB,اپنانا
طویل,NN,طویل
جاسکتے,AA,جاسکا
پہنچائی,VB,پہنچ
استطاعت,NN,اِستطاعتِ
آزاد,NN,آزاد
گلگت,NN,گلگت
ندامت,NN,ندامت
قطعہ,NN,قطعہ
مسافت,NN,مسافت
نادان,NN,نادان
اندھیرا,NN,اندھیرا
مٹی,PN,مٹی
برتر,ADJ,برتر
ہسپتالوں,NN,ہسپتال
تماشائی,ADJ,تماشہ
الجھ,VB,الجھ
حسیں,NN,حسیں
ٹرافی,NN,ٹرافی
نوید,NN,نوید
بادشاہت,NN,بادشاہ
جیلوں,NN,جیل
مہاجرین,NN,مہاجر
صدیقی,ADJ,صدیقی
کھویا,VB,کھو
سکوں,VB,سکہ
بخشنے,VB,بخش
فیلڈنگ,NN,فيلڈنگ
پستول,NN,پستول
ئی,ADJ,ئی
سورس,NN,سورس
تنازعہ,NN,تنازعہ
اکثریتی,ADJ,اكثریت
عشرت,NN,عشرت
وعلی,PN,وعلی
علیم,NN,علیم
نبوت,NN,نبوت
لغات,NN,لغت
ادھوری,ADJ,ادھورا
زیور,NN,زیور
مفاہمت,NN,مفاہمت
بہتان,NN,بہتان
سکین,NN,سکین
سباق,NN,سبق
مہدی,ADJ,مہدی
دھرنے,VB,دھرنا
سنہ,ADJ,سنہ
فنی,ADJ,فنی
انجینئر,NN,انجینئر
رنگِ,NN,رنگ
گھومتے,VB,گھوم
انچارج,NN,انچارج
تشنگی,NN,تشنگی
خریدے,VB,خريد
شکرگزار,ADJ,شکرگزار
الی,PN,الی
مخفی,ADJ,مخفی
اسحاق,NN,اسحاق
بروز,PN,بروز
بیٹھنا,VB,بیٹھ
ذوالقرنین,PN,ذوالقرنين
رابرٹ,PN,رابرٹ
ناروے,NN,ناروے
غزل,ADJ,غزل
مخلوقات,NN,مخلوق
کردیتی,VB,كردے
اسٹیڈیم,NN,اسٹیڈیم
خاور,ADJ,خاور
عنوانات,NN,عنوان
ایبل,PN,ايبل
ماورا,PN,ماورا
وظیفہ,NN,وظیفہ
کرسکیں,VB,كرسکا
افتتاح,NN,افتتاح
طے,ADJ,طے
خریدار,NN,خرید
پک,VB,پک
وائی,PN,وائی
مائیک,PN,مائیک
سرخی,NN,سرخ
عمری,NN,عمری
خواہاں,NN,خواہ
تھینک,PN,تھینک
شاہین,PN,شاہین
ظالم,ADJ,ظالم
سیف,NN,سیف
جاسوسی,NN,جاسوس
نازل,PN,نازل
فوقیت,NN,فوقیت
تمباکو,NN,تمباکو
چلاتا,VB,چل
مصرع,ADJ,مصرع
اینڈرائیڈ,PN,اينڈرائیڈ
کرزئی,PN,كرزئی
ہمسایہ,NN,ہمسایہ
کیسی,VB,کیسا
لوح,NN,لوح
مائیں,NN,ماں
دیجیئے,AA,دیجیئے
جاگتے,VB,جاگ
اصولی,ADJ,اصول
اصغر,PN,اصغر
سطحی,ADJ,سطح
جائیگا,AA,جا
اعضاء,NN,اعضاء
حس,PN,حس
اِسلام,NN,اسلام
کرسمس,PN,كرسمس
Images,PN,Images
ڈویژن,PN,ڈویژن
مبالغہ,NN,مبالغہ
برادرم,PN,برادرم
سمجھوتہ,NN,سمجھ
قوافی,NN,قوافی
صومالیہ,NN,صومالیہ
متفرق,ADJ,متفرق
چیلنج,VB,چیلنج
سچن,NN,سچن
ماہِ,NN,ماہ
جھڑپ,NN,جھڑپ
ماہر,ADJ,ماہر
سہیلی,NN,سہیلی
گریم,PN,گریم
انار,NN,انار
پریکٹس,NN,پریکٹس
پڑیں,NN,پڑ
بالترتیب,ADV,بالترتیب
خوری,NN,خوری
الرحیم,PN,الرحیم
مساوی,ADJ,مساوی
مرچ,PN,مرچ
د,NN,د
اہداف,NN,ہدف
حکومتِ,NN,حکومت
فاعلاتن,PN,فاعلاتن
دیوانِ,NN,ديوان
فارس,PN,فارس
حلیم,ADJ,حلیم
پاکیزہ,ADJ,پاکیزہ
آن,VB,آن
مسند,ADJ,مسند
صدام,NN,صدام
شوگر,NN,شوگر
منائیں,VB,منا
ڈھل,VB,ڈھل
مباحثہ,NN,مباحثہ
فعولن,PN,فعولن
عمارتیں,NN,عمارت
انٹیلی,PN,انٹیلی
سرکردہ,ADJ,سرکردہ
مجبوراً,ADV,مجبوراً
کرشن,PN,کرشن
سرائیکی,ADJ,سرائیکی
گوش,NN,گوش
پت,NN,پت
مچھر,NN,مچھر
داں,NN,داں
بابے,NN,بابا
زیاد,PN,زیاد
پختونخواہ,NN,پختونخواہ
نشستیں,NN,نشست
آؤ,AA,آ
ناپسندیدہ,ADJ,ناپسندیدہ
پانچوں,NN,پانچ
ازالہ,NN,ازالہ
جنگجوؤں,NN,جنگجو
گھٹنے,VB,گھٹ
ڈرنا,VB,ڈر
بڑھانا,VB,بڑھ
کردے,AA,كردہ
ثانی,PN,ثانی
لیکس,PN,لیکس
سس,PN,سس
لیٹر,NN,لیٹر
تکبیر,NN,تكبیر
استقامت,NN,استقامتِ
ویزہ,PN,ویزہ
آسمانی,ADJ,آسمان
بکواس,NN,بكواس
ہیومن,PN,ہيومن
برق,NN,برق
راوی,PN,راوی
مارکس,PN,مارکس
انبار,NN,انبار
عموما,NN,عموماً
مست,NN,مست
بغض,NN,بغض
تجزیے,NN,تجزیہ
ہمزہ,NN,ہمزہ
سید,ADJ,سید
فیروز,PN,فیروز
بگ,PN,بگ
اسرائیلی,NN,اسرائیلی
ہاٹ,PN,ہاٹ
اقدس,PN,اقدس
سحر,PN,سحر
ننگے,NN,ننگا
مفصل,ADJ,مفصل
کتا,NN,کتا
مسخ,NN,مسخ
گفتار,NN,گفتار
شئے,NN,شئے
لکھنوی,PN,لكھنوی
قہقہہ,NN,قہقہہ
بادشاہ,PN,بادشاہ
اندھیروں,NN,اندھیرا
پہنچ,NN,پہنچ
لگوا,VB,لگوا
عثمانی,PN,عثمانی
ٹکر,NN,ٹکر
دانی,NN,دانی
پراسرار,ADJ,پراسرار
لگانی,VB,لگ
ايک,ADJ,ایک
+,EXP,+
دکاندار,NN,دكاندار
انسٹالر,PN,انسٹال
ہل,NN,ہل
شاگردوں,NN,شاگرد
مدیر,NN,مدیر
مائیکروسافٹ,PN,مائیکروسافٹ
دیوی,NN,دیوی
سکندر,PN,سكندر
پہچانے,VB,پہچا
دنيا,NN,دنیا
وضو,NN,وضو
دھول,NN,دھول
استعداد,NN,استعداد
آسانیاں,NN,آسان
میڈیکل,PN,میڈیکل
وقتوں,NN,وقت
اسیر,NN,اسیر
قیس,NN,قیس
جزا,NN,جزا
ایمانداری,NN,ایماندار
بھیجیں,VB,بھيج
دھونی,NN,دھونی
رپورٹر,NN,رپورٹ
ناں,ADJ,ناں
ماؤں,NN,ماں
چرچ,NN,چرچ
محسود,ADJ,محسود
بناؤں,VB,بن
فائلز,PN,فائل
ناظرین,NN,ناظرین
روٹ,NN,روٹ
اکرام,NN,اِکرام
انور,NN,انور
چھپنے,VB,چھپ
قادری,PN,قادری
لہروں,NN,لہر
مریخ,NN,مریخ
شعار,NN,شعار
arifkarim,PN,arifkarim
قاضی,PN,قاضی
سنائے,VB,سن
خاکے,NN,خاکہ
پنڈی,NN,پنڈی
وزیراعلیٰ,PN,وزيراعلی
آمر,NN,امر
تلافی,NN,تلافی
حقیر,NN,حقیر
نماز,ADJ,نماز
o,PN,o
یرغمال,ADJ,یرغمال
منانا,VB,منا
عزائم,NN,عزائم
ممنون,NN,ممنون
جہانزیب,NN,جہانزیب
پو,PN,پو
پاسداری,NN,پاسداری
شکنی,NN,شکنی
کرلوں,NN,کرلوں
افضل,NN,افضل
سہارے,NN,سہارا
ہالینڈ,PN,ہالينڈ
مُلک,NN,ملک
دیانت,NN,ديانت
عظیم,PN,عظیم
اوکے,PN,اوکے
سبزہ,NN,سبزہ
باباجی,NN,باباجی
فیچرز,NN,فيچر
مکالمے,NN,مكالمہ
پوچھوں,VB,پوچھ
ناصر,NN,ناصر
عیسائیت,NN,عیسائیت
خیبر,PN,خیبر
مانتی,P,مان
کیجے,NN,کیجے
گریباں,NN,گريباں
عابد,ADJ,عابد
گریڈ,PN,گریڈ
اچھائی,NN,اچھائی
ٹیمپلیٹ,NN,ٹيمپلیٹ
سوتا,VB,سو
میگا,PN,میگا
مرزا,NN,مرزا
نوع,NN,نوع
الم,NN,الم
راکھ,PN,راکھ
تراکیب,NN,تركیب
اجماع,NN,اجماع
بیٹھک,NN,بيٹھک
بینی,NN,بینی
سرفراز,PN,سرفراز
گذرا,VB,گذر
نسب,NN,نسب
عید,ADJ,عید
اردن,PN,اُردن
افق,NN,افق
مشابہت,NN,مشابہت
فرخ,ADJ,فرخ
یکجہتی,NN,یکجہتی
نظری,NN,نظر
قلبی,ADJ,قلبی
پیشے,NN,پيشہ
ہمدرد,NN,ہمدرد
خریدنا,VB,خرید
ٹام,PN,ٹام
کرلیتا,VB,كرلیتا
انگور,NN,انگور
قاسمی,PN,قاسمی
قذافی,NN,قذافی
تیشہ,NN,تیشہ
ساجد,ADJ,ساجد
حماد,NN,حماد
انشاء,ADJ,انشاء
اسلامک,PN,اسلامک
ناولوں,NN,ناول
فاش,NN,فاش
محب,ADJ,محب
حویلی,NN,حویلی
ذوقِ,NN,ذوق
اخباروں,NN,اخبار
مانو,NN,مان
گفٹ,NN,گفٹ
خواص,NN,خواص
اصلاحی,ADJ,اِصلاح
جیہ,PN,جیہ
سسرال,NN,سسرال
بلاگستان,NN,بلاگستان
رغبت,NN,رغبت
طلوع,NN,طلوع
بیٹھتا,VB,بيٹھ
ہیئت,NN,ہیئت
پروف,NN,پروف
عادتیں,NN,عادت
لنکس,NN,لنکس
ابوبکر,NN,ابوبكر
اعلانات,NN,اعلان
اسکین,ADJ,اسكين
آلودگی,NN,آلودگی
اتا,VB,اتا
اٹھاتا,VB,اٹھ
الخط,NN,الخطِ
شیئرنگ,NN,شیئرنگ
برائیاں,NN,برائی
گاجر,NN,گاجر
مصداق,NN,مصداق
مات,NN,مات
اسلم,NN,اسلم
بیتی,VB,بیتی
پریشاں,NN,پريشاں
امیدوں,NN,اميد
موہن,PN,موہن
کرد,NN,كرد
جارحیت,NN,جارحیت
گراف,NN,گراف
کررہے,NN,كررہ
مبذول,ADJ,مبذول
پرچے,NN,پرچہ
زبیر,NN,زبیر
اعصاب,NN,اعصاب
نکتے,NN,نکتہ
@,CA,@
کےساتھ,PN,كےساتھ
مہنگائی,ADJ,مہنگا
کرشمہ,NN,كرشمہ
سازشی,ADJ,سازش
پپو,NN,پپو
غسل,NN,غسل
مراعات,NN,مراعات
یونین,NN,یونین
گوجرانوالہ,NN,گوجرانوالہ
ایشو,NN,ايشو
بری,NN,بری
مرچ,NN,مرچ
عطیہ,NN,عطیہ
باجوڑ,NN,باجوڑ
باسی,NN,باسی
دفتری,ADJ,دفتر
دستیابی,NN,دستیاب
بجانے,VB,بجا
رجسٹریشن,NN,رجسٹریشن
ذاتِ,NN,ذات
جزائے,ADV,جزا
فرزانہ,ADJ,فرزانہ
خراج,NN,خراج
عليہ,NN,علیہ
مدرسوں,NN,مدرسہ
اشاروں,NN,اشارہ
آغوش,NN,آغوش
سونے,NN,سو
اسناد,NN,سند
کوالٹی,NN,كوالٹی
تاوان,NN,تاوان
ٹینس,NN,ٹینس
حامی,ADJ,حامی
فرمائی,PN,فرما
بیداری,NN,بيداری
تابعین,NN,تابعین
پروگراموں,NN,پروگرام
بچھا,VB,بچھ
ڈیٹ,PN,ڈیٹ
نااہل,ADJ,نااہل
مریم,PN,مریم
دستہ,NN,دستہ
دھشت,NN,دھشت
کوہلی,PN,كوہلی
﴾,CA,﴾
سیکھے,VB,سیکھ
ہُوں,NN,ہے
قحط,NN,قحط
شناسائی,NN,شناسائی
پکے,VB,پک
اتحادیوں,NN,اتحاد
ول,PN,ول
سردار,PN,سردار
مظفر,PN,مظفر
خطہ,NN,خطہ
صالح,ADJ,صالح
کاوشوں,NN,کاوش
مخلوط,ADJ,مخلوط
جنازے,NN,جنازہ
سیاح,NN,سیاح
مائیکرو,ADJ,مائیکرو
کاج,NN,کاج
صیغہ,NN,صيغہ
تہہ,ADJ,تہہ
لانچ,NN,لانچ
ضلع,PN,ضلع
دواں,NN,دواں
یونیورسٹیوں,NN,یونیورسٹی
ذاکر,PN,ذاکر
قفس,NN,قفس
شارق,NN,شارق
طبعی,ADJ,طب
ماخوذ,ADJ,ماخوذ
ابواب,NN,باب
البم,NN,البم
فارقلیط,PN,فارقليط
گاوں,NN,گاوں
جانیں,NN,جان
جائےگا,AA,جا
کرسکیں,NN,كرسکا
جڑیں,NN,جڑ
ہےکہ,PN,ہےکہ
روگ,PN,روگ
ریپ,NN,ریپ
نورِ,NN,نورِ
پوشی,NN,پوشی
اعتقاد,NN,اعتقاد
br,CA,br
ڈھونڈنا,VB,ڈھونڈ
اجزاء,NN,اجزاء
میٹھی,ADJ,ميٹھا
قوی,NN,قویٰ
شرٹ,NN,شرٹ
تڑپ,NN,تڑپ
مقبول,NN,مقبول
موجِ,NN,موج
نمبروں,NN,نمبر
عندلیب,PN,عندلیب
ہینڈ,PN,ہينڈ
دانا,NN,دانا
اکیڈمی,PN,اكيڈمی
دانے,NN,دانا
پروین,PN,پروین
حصّہ,NN,حصہ
نگراں,NN,نگراں
طاری,ADJ,طاری
ممنون,ADJ,ممنون
اجمل,ADJ,اجمل
ظہیر,ADJ,ظہیر
رکھئے,VB,رکھ
ابہام,NN,ابہام
پھنسے,VB,پھنس
الکتب,PN,الكتب
ا,AA,آ
العالمین,PN,العالمین
سیشن,NN,سیشن
پیروکار,NN,پيروکار
استغاثہ,NN,استغاثہ
بریفنگ,NN,بريف
تاں,NN,تاں
کہیے,ADV,کہہ
کاٹ,NN,کاٹ
لاحق,VB,لاحق
سرنگ,NN,سرنگ
کمپیوٹرز,NN,كمپيوٹر
التجا,NN,التجا
اینڈرسن,PN,اينڈرسن
دستوں,NN,دست
عبد,ADJ,عبد
سیکولر,PN,سیکولر
گذار,VB,گذار
تواس,NN,تواس
پیارا,VB,پيارا
ذیشان,NN,ذيشان
سیاحوں,NN,سیاح
پھرتے,AA,پھر
مٹانے,VB,مٹ
شیرنی,NN,شیر
آوری,NN,آوری
کارِ,NN,کار
فرمان,PN,فرمان
وں,NN,وں
انصاری,PN,انصار
